B_COUNTRY_ALPHA,H_URBRURAL,Q260,X003R2,Q275R,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q11P,Q121,Q123,Q124,Q12P,Q130P,Q149,Q150,Q151P,Q15P,Q160,Q162,Q163,Q164,Q165P,Q166P,Q169P,Q16P,Q170P,Q171P,Q172P,Q173P,Q176P,Q17P,Q180,Q182,Q184,Q185,Q186,Q188,Q189,Q190,Q195,Q197P,Q199P,Q19P,Q20P,Q21P,Q22P,Q23P,Q234P,Q235P,Q236P,Q237P,Q238P,Q239P,Q241,Q242,Q243,Q245,Q246,Q248,Q249,Q250,Q254P,Q255P,Q259P,Q25P,Q26P,Q27P,Q28P,Q29P,Q2P,Q30P,Q32P,Q33P,Q34P,Q35P,Q37P,Q38P,Q39P,Q3P,Q41P,Q42,Q4P,Q57P,Q5P,Q64P,Q66P,Q68P,Q69P,Q6P,Q70P,Q71P,Q72P,Q73P,Q77P,Q8P,Q90,Q9P
MEX,1.0,2.0,3.0,3.0,7.5,6.0,5.0,4.0,3.5,1.0,10.0,0.0,3.0,1.0,1.0,1.0,2.5,2.0,2.0,1.0,0.0,7.5,5.5,8.0,10.0,1.0,1.0,2.0,0.0,2.0,5.5,7.0,3.0,4.0,1.0,2.0,6.0,2.5,5.0,5.0,5.0,1.0,1.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,2.0,5.5,2.0,7.5,4.5,6.0,5.0,8.0,10.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.5,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1.5,1.0,1.0,2.0,0.0,7.5,0.0
MEX,2.0,1.0,1.0,1.0,6.5,8.5,9.0,8.0,7.5,1.5,10.0,0.0,2.5,0.5,1.0,0.0,2.0,1.0,1.5,1.0,0.0,7.0,4.0,9.0,10.0,1.0,1.0,3.5,0.5,3.0,5.5,4.5,2.5,3.0,1.0,1.0,1.0,1.0,1.5,2.5,1.0,2.0,1.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.0,1.5,3.0,3.0,5.5,5.5,5.0,4.0,3.0,4.0,3.0,8.5,4.0,2.5,1.0,0.0,0.0,3.5,3.0,3.0,3.5,2.0,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,2.5,2.0,1.0,4.0,3.5,2.0,2.5,2.0,3.5,1.0,1.0,1.5,1.0,1.0,0.5,9.5,0.0
MEX,2.0,1.0,1.0,2.0,5.0,6.5,4.5,5.5,2.5,1.5,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,7.0,5.0,6.0,10.0,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,5.5,1.0,2.0,5.0,2.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.5,6.5,5.0,5.0,5.0,7.5,9.0,4.0,4.0,3.0,0.0,0.0,3.5,2.0,2.0,3.0,2.0,3.0,2.5,3.0,3.5,2.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,3.5,2.0,2.0,1.0,2.0,2.0,0.0,7.0,0.0
MEX,2.0,1.0,1.0,3.0,3.0,8.5,2.5,3.0,2.5,1.0,10.0,0.0,3.5,1.0,0.5,1.0,3.0,2.0,2.0,1.0,0.0,7.5,3.0,7.5,8.5,1.0,0.5,2.0,0.0,2.0,4.0,6.0,3.0,6.0,1.0,3.0,5.0,7.0,6.0,6.0,7.5,1.0,2.5,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,3.0,2.0,6.5,4.0,8.0,5.5,6.5,4.5,8.5,9.5,4.0,4.0,1.5,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.5,3.0,4.0,3.0,3.5,4.0,3.5,3.0,4.0,2.0,2.5,1.0,4.0,2.5,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,7.5,0.0
MEX,2.0,1.0,2.0,1.0,5.0,6.0,4.5,4.0,4.5,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,6.0,7.0,10.0,1.0,1.0,3.0,0.0,3.0,6.0,7.0,3.0,4.5,1.0,2.0,1.0,1.0,2.5,3.0,1.0,1.0,1.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,8.0,5.5,6.0,5.0,6.0,8.0,4.0,4.0,2.0,0.0,0.0,4.0,2.5,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,3.5,4.0,2.0,2.0,1.0,4.0,3.0,2.0,1.5,1.0,3.5,2.0,1.0,1.0,2.0,2.0,0.0,7.0,0.0
MEX,2.0,1.0,2.0,2.0,5.0,7.0,5.0,4.5,3.5,1.0,10.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,6.0,7.0,10.0,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,5.0,1.0,2.0,3.0,1.5,5.0,5.0,3.0,1.0,1.0,2.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,8.0,6.0,5.5,5.5,8.5,10.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0
MEX,2.0,1.0,2.0,3.0,7.5,6.0,6.5,3.5,4.5,2.0,9.0,0.0,3.0,1.5,1.0,1.0,3.0,1.0,2.0,1.0,0.0,9.0,7.0,7.5,10.0,1.0,1.0,2.0,0.0,2.0,4.5,7.0,3.0,4.0,0.0,2.0,5.5,4.0,5.5,5.5,6.0,1.0,1.5,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,6.0,6.0,6.0,3.5,8.5,10.0,4.0,4.0,3.0,0.0,0.0,3.5,2.0,2.0,3.0,2.0,3.0,2.5,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.5,1.5,3.0,0.0,7.5,0.0
MEX,2.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,6.0,6.0,6.0,10.0,1.0,1.0,3.0,0.0,3.0,6.0,7.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,7.0,4.0,5.0,5.0,8.0,10.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,0.0
MEX,2.0,1.0,3.0,2.0,6.0,7.0,6.0,3.0,3.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,7.0,6.0,7.0,10.0,1.0,1.0,2.0,0.0,2.0,6.0,7.0,3.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0
MEX,2.0,1.0,3.0,3.0,8.0,5.0,7.0,1.0,5.0,2.0,10.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,9.0,8.0,10.0,10.0,1.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,6.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,8.0,7.0,8.0,8.0,6.0,10.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,10.0,0.0
MEX,2.0,2.0,1.0,1.0,5.0,6.0,8.0,5.0,5.0,1.0,10.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,6.0,7.0,8.0,10.0,1.0,1.0,2.0,0.0,3.0,6.0,7.0,3.0,6.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,7.0,5.0,6.0,5.0,3.0,7.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0
MEX,2.0,2.0,1.0,2.0,5.0,6.0,3.0,5.0,3.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,7.0,6.0,6.0,10.0,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,5.0,1.0,2.0,6.0,2.0,6.0,7.0,4.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,7.0,5.0,6.0,6.0,9.0,9.0,4.0,4.0,3.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,7.0,0.0
MEX,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,7.0,7.0,8.0,8.0,1.0,1.0,2.0,1.0,2.0,6.0,6.0,3.0,6.0,1.0,1.0,5.0,2.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,5.0,6.0,7.0,7.0,9.0,4.0,4.0,3.0,0.0,0.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,7.0,0.0
MEX,2.0,2.0,2.0,1.0,3.5,7.0,5.0,5.5,4.5,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.5,2.0,1.0,0.0,7.0,6.0,7.0,10.0,1.0,1.0,3.0,0.0,3.0,6.0,7.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,2.5,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.5,3.0,3.0,6.0,3.5,6.0,5.0,5.5,5.0,6.5,9.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,3.5,2.0,1.0,2.0,4.0,1.5,1.5,1.0,1.0,2.0,0.0,7.0,0.0
MEX,2.0,2.0,2.0,2.0,6.5,7.0,5.0,4.0,4.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,8.0,7.0,7.0,10.0,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,5.0,1.0,2.0,4.5,1.0,5.0,4.0,2.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,7.0,5.0,5.0,5.0,7.5,10.0,4.0,4.0,2.0,0.0,0.0,4.0,2.5,2.0,3.0,2.0,3.0,2.0,3.5,4.0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.5,0.0
MEX,2.0,2.0,2.0,3.0,7.0,7.5,7.5,5.0,6.0,1.0,10.0,0.0,3.0,1.5,1.5,1.0,3.0,1.0,2.0,1.0,0.0,8.5,7.0,6.5,9.5,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,4.0,0.0,2.0,5.0,2.0,4.0,4.5,2.0,1.0,3.0,2.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,3.5,3.0,3.0,1.0,3.5,2.0,4.5,4.0,7.0,4.0,7.0,5.0,7.5,9.5,4.0,4.0,2.5,0.0,0.0,4.0,3.0,2.0,4.0,2.0,3.0,2.5,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,8.0,0.0
MEX,2.0,2.0,3.0,1.0,5.5,5.0,5.0,5.0,4.0,1.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,9.0,8.0,5.0,10.0,1.0,1.0,3.0,0.0,3.0,6.0,7.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,4.5,3.5,8.0,4.0,6.0,5.0,8.0,10.0,4.0,4.0,3.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.5,1.0,1.0,2.0,0.0,7.0,0.0
MEX,2.0,2.0,3.0,2.0,5.0,6.0,5.0,5.0,5.0,2.0,10.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,5.0,8.0,10.0,1.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,6.0,0.0,1.0,5.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,7.0,7.0,7.0,5.0,9.0,10.0,4.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,5.0,0.0
MEX,2.0,2.0,3.0,3.0,10.0,10.0,1.0,1.0,1.0,2.0,9.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,8.0,9.0,8.0,1.0,1.0,1.0,0.0,1.0,6.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,4.0,1.0,6.0,6.0,7.0,9.0,8.0,9.0,9.0,10.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
MMR,1.0,1.0,1.0,1.0,9.0,9.0,4.5,5.0,1.0,2.0,8.0,0.0,3.0,0.5,2.0,0.5,3.0,2.0,2.0,1.0,0.0,4.5,5.0,7.0,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,7.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,9.0,4.0,8.5,6.0,7.5,10.0,10.0,10.0,4.0,3.0,1.5,1.0,1.0,4.0,2.5,3.5,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.5,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,6.5,0.5
MMR,1.0,1.0,1.0,2.0,6.0,5.0,2.5,1.5,1.0,1.0,9.0,0.0,3.0,1.5,2.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,3.0,5.5,10.0,1.0,1.0,3.5,0.0,4.0,4.0,6.5,3.0,7.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,3.5,3.0,0.5,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.5,2.0,9.0,4.0,9.0,5.0,6.5,10.0,10.0,10.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,2.5,3.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,2.5,2.0,2.0,2.5,1.0,4.0,3.0,2.0,3.0,2.5,4.0,3.0,3.0,2.0,3.0,3.0,0.0,6.0,0.0
MMR,1.0,1.0,1.0,3.0,8.0,5.0,8.0,5.0,3.0,1.0,8.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,4.0,6.0,9.0,1.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,7.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,8.0,5.0,8.0,8.0,7.0,10.0,9.0,7.0,4.0,3.0,3.0,1.0,0.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,8.0,0.0
MMR,1.0,1.0,2.0,1.0,5.5,6.5,5.5,3.0,2.0,2.0,8.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,5.5,4.0,7.0,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,0.5,4.0,3.0,3.0,3.0,4.0,2.0,8.0,4.5,9.0,4.0,8.5,10.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.5,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,0.0,7.0,0.0
MMR,1.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,3.0,1.0,8.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,7.0,3.0,6.0,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,8.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,4.0,2.0,7.0,4.0,9.0,4.0,8.0,10.0,10.0,9.0,4.0,4.0,3.0,1.0,0.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,7.0,0.0
MMR,1.0,1.0,2.0,3.0,9.0,2.0,3.0,1.0,3.0,2.0,9.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,5.0,3.0,8.0,10.0,1.0,1.0,2.0,0.0,4.0,4.0,6.0,3.0,7.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,4.0,1.0,6.0,1.0,10.0,3.0,10.0,10.0,10.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,0.0,8.0,0.0
MMR,1.0,1.0,3.0,1.0,6.5,8.0,4.0,3.0,1.5,1.0,9.0,0.0,2.5,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,4.5,5.5,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,5.0,4.0,2.5,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.5,2.0,8.0,3.5,8.0,5.0,8.0,10.0,9.5,10.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,2.5,1.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,7.0,0.5
MMR,1.0,1.0,3.0,2.0,8.0,5.0,3.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,8.0,3.0,10.0,5.0,9.0,10.0,10.0,10.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,7.0,0.0
MMR,1.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,8.0,9.0,1.0,1.0,4.0,0.0,4.0,5.0,7.0,3.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,8.0,2.0,9.0,3.0,4.0,8.0,9.0,9.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,7.0,0.0
MMR,1.0,2.0,1.0,1.0,5.0,6.0,5.0,5.0,1.0,1.0,8.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,5.0,5.0,10.0,1.0,1.0,4.0,1.0,4.0,4.0,7.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,7.0,5.0,9.0,7.0,6.0,10.0,10.0,10.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,0.0
MMR,1.0,2.0,1.0,2.0,10.0,6.5,1.5,1.0,1.0,2.0,9.5,0.0,3.0,2.0,2.0,0.5,2.0,2.0,2.0,1.0,1.0,5.5,4.5,5.0,10.0,1.0,1.0,4.0,0.0,4.0,5.0,7.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.5,3.0,0.5,1.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,3.5,10.0,5.0,8.0,10.0,10.0,9.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,2.5,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.5,2.0,0.0,6.0,0.0
MMR,1.0,2.0,1.0,3.0,10.0,5.0,6.0,1.0,5.0,1.0,9.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,8.0,10.0,1.0,1.0,3.0,0.0,4.0,4.0,7.0,3.0,6.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,8.0,5.0,9.0,5.0,6.0,8.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,6.0,0.0
MMR,1.0,2.0,2.0,1.0,8.0,9.5,3.5,6.0,1.0,2.0,8.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,8.0,10.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,3.0,8.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,9.0,6.0,8.5,6.0,8.5,10.0,10.0,10.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,5.5,1.0
MMR,1.0,2.0,2.0,2.0,7.0,7.0,3.0,3.0,3.0,2.0,7.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,10.0,1.0,1.0,4.0,0.0,4.0,5.0,7.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,8.0,3.0,8.0,5.0,7.0,8.0,9.0,9.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0,0.0
